ingredient_name,category,severity,ins_code,notes,source
RAISING AGENTS 500(II),raising_agent,low,INS 500(ii),Sodium bicarbonate - baking soda, safe,FSSAI food additive regulations
RAISING AGENTS 503(II),raising_agent,low,INS 503(ii),Ammonium carbonate - permitted raising agent,FSSAI food additive regulations
RAISING AGENTS INS 500(II),raising_agent,low,INS 500(ii),Sodium bicarbonate,FSSAI food additive regulations
RAISING AGENTS INS 503(II),raising_agent,low,INS 503(ii),Ammonium carbonate,FSSAI food additive regulations
NATURE IDENTICAL FLAVOURING SUBSTANCES,artificial_flavoring,medium,,Lab-synthesized to mimic natural flavor molecules,FSSAI labeling guidelines
ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE,artificial_flavoring,medium,,Synthetic flavoring compound,FSSAI labeling guidelines
HYDROLYSED VEGETABLE PROTEIN,msg_source,medium,,Contains free glutamates similar to MSG; found in 39 products in dataset (hydrolysed/hydrolyzed variants combined),FSSAI labeling guidelines
HYDROLYZED VEGETABLE PROTEIN,msg_source,medium,,Alternate spelling; contains free glutamates similar to MSG,FSSAI labeling guidelines
MONOSODIUM GLUTAMATE,msg,medium,INS 621,Flavor enhancer; generally recognized as safe by FSSAI/FDA/WHO at normal intake but some individuals report sensitivity,FSSAI food additive regulations
FLAVOUR ENHANCER (MONOSODIUM GLUTAMATE,msg,medium,INS 621,Explicit MSG declaration,FSSAI food additive regulations
FLAVOUR ENHANCER - 621,msg,medium,INS 621,MSG declared by INS code only,FSSAI food additive regulations
FLAVOUR ENHANCER,msg_likely,medium,INS 621 (most common),"Generic term; INS 621 (MSG) is the most commonly used flavor enhancer in Indian packaged snacks, appears in 75 products in dataset without always naming MSG explicitly",FSSAI food additive regulations / dataset analysis
DISODIUM GUANYLATE,msg_synergist,low,INS 627,Often paired with MSG to enhance umami effect,FSSAI food additive regulations
DISODIUM INOSINATE,msg_synergist,low,INS 631,Often paired with MSG to enhance umami effect,FSSAI food additive regulations
WHEAT GLUTEN,allergen,low,,Allergen for gluten-sensitive/celiac consumers,FSSAI allergen labeling
MILK SOLIDS,allergen,low,,Dairy allergen concern only,FSSAI allergen labeling
SKIMMED MILK POWDER,allergen,low,,Dairy allergen concern only,FSSAI allergen labeling
REFINED WHEAT FLOUR (MAIDA),refined_carb,medium,,Highly refined, low-fiber carbohydrate; frequent first ingredient in biscuits,General nutrition guidance
REFINED WHEAT FLOUR,refined_carb,medium,,Highly refined, low-fiber carbohydrate,General nutrition guidance
CORN FLOUR,refined_carb,low,,Refined starch, moderate concern,General nutrition guidance
STARCH,refined_carb,low,,Generic refined starch filler,General nutrition guidance
IODISED SALT,sodium_source,low,,Standard iodized salt; flag only when combined with high sodium total,FSSAI labeling guidelines
IODIZED SALT,sodium_source,low,,Same as above (alternate spelling in dataset),FSSAI labeling guidelines
LODIZED SALT,sodium_source,low,,OCR/typo variant found in dataset for iodized salt,Dataset-observed variant
LODISED SALT,sodium_source,low,,OCR/typo variant found in dataset for iodised salt,Dataset-observed variant
EDIBLE COMMON SALT,sodium_source,low,,Generic salt,FSSAI labeling guidelines
BLACK SALT,sodium_source,low,,Flavored salt variant,FSSAI labeling guidelines
