S.No,Item name,Brand_Name,Category,Sub_Category,Matched_Ingredients,Matched_Categories,Matched_Severities
26,Britannia Good Day Chunkies Chocochip Cookie,BRITANNIA,BISCUIT,COOKIES,LIQUID GLUCOSE; INVERT SUGAR SYRUP; DEXTROSE; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; hidden_sugar; hidden_sugar; allergen; refined_carb; sodium_source,medium; medium; medium; low; medium; low
27,Britannia Nutrichoice Almond and Oats Milk Biscuits,BRITANNIA,BISCUIT,BISCUIT,LIQUID GLUCOSE; INVERT SUGAR SYRUP; MALTODEXTRIN; REFINED PALM OIL; EMULSIFIERS 471; RAISING AGENTS 500(II); RAISING AGENTS 503(II); MILK SOLIDS; IODISED SALT,hidden_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; emulsifier; raising_agent; raising_agent; allergen; sodium_source,medium; medium; medium; medium; low; low; low; low; low
28,Orion Mango Choco Pie,ORION,BISCUIT,PIE,SUGAR; LIQUID GLUCOSE; DEXTROSE; HYDROGENATED VEGETABLE FAT; RAISING AGENTS INS 500(II); REFINED WHEAT FLOUR (MAIDA); EDIBLE COMMON SALT,added_sugar; hidden_sugar; hidden_sugar; trans_fat_source; raising_agent; refined_carb; sodium_source,medium; medium; medium; high; low; medium; low
29,Sunfeast Baked Creations French Style Butter Delice Cookies,BAKED CREATIONS,BISCUIT,COOKIES,SUGAR; MILK SOLIDS; REFINED WHEAT FLOUR; IODIZED SALT,added_sugar; allergen; refined_carb; sodium_source,medium; low; medium; low
30,UNIBIC Choco Nut Cookies,UNIBIC,BISCUIT,COOKIES,SUGAR; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; allergen; refined_carb; sodium_source,medium; low; medium; low
31,UNIBIC Cashew Badam Cookies,UNIBIC,BISCUIT,COOKIES,SUGAR; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; allergen; refined_carb; sodium_source,medium; low; medium; low
32,Britannia Nutrichoice Oats Orange & Almond Biscuits,BRITANNIA,BISCUIT,BISCUIT,LIQUID GLUCOSE; INVERT SUGAR SYRUP; MALTODEXTRIN; REFINED PALM OIL; EMULSIFIERS 471; RAISING AGENTS 500(II); RAISING AGENTS 503(II); NATURE IDENTICAL FLAVOURING SUBSTANCES; MILK SOLIDS; IODISED SALT,hidden_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; emulsifier; raising_agent; raising_agent; artificial_flavoring; allergen; sodium_source,medium; medium; medium; medium; low; low; low; medium; low; low
33,Dukes Nice Biscuits,DUKES,BISCUIT,BISCUIT,SUGAR; INVERT SYRUP; REFINED PALM OIL; EMULSIFIERS 471; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODIZED SALT,added_sugar; hidden_sugar; saturated_fat_source; emulsifier; allergen; refined_carb; sodium_source,medium; medium; medium; low; low; medium; low
34,Parle Hide & Seek Cafe Mocha Cookies,PARLE,BISCUIT,COOKIES,INVERT SUGAR SYRUP; DEXTROSE; REFINED PALM OIL; RAISING AGENTS 500(II); RAISING AGENTS 503(II); REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; hidden_sugar; saturated_fat_source; raising_agent; raising_agent; refined_carb; sodium_source,medium; medium; medium; low; low; medium; low
35,UNIBIC Fruit & Nut cookie,UNIBIC,BISCUIT,COOKIES,SUGAR; LIQUID GLUCOSE; ACIDITY REGULATOR (INS 330); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; hidden_sugar; acidity_regulator; allergen; refined_carb; sodium_source,medium; medium; low; low; medium; low
36,Cadbury Chocobakes ChocoChip Cookies,OREO,BISCUIT,COOKIES,INVERT SUGAR; DEXTROSE; EMULSIFIERS (442; RAISING AGENTS 500(II); RAISING AGENTS 503(II); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; hidden_sugar;  476); raising_agent; raising_agent; allergen; refined_carb; sodium_source,medium; medium; emulsifier; low; low; low; medium; low
37,Mom's Magic Rich Cashew Almond Cookies | Mom's Favorite Baked Cookies,SUNFEAST,BISCUIT,COOKIES,SUGAR; INVERT SYRUP; REFINED PALM OIL; RAISING AGENTS INS 500(II); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); EDIBLE COMMON SALT,added_sugar; hidden_sugar; saturated_fat_source; raising_agent; allergen; refined_carb; sodium_source,medium; medium; medium; low; low; medium; low
38,Britannia NutriChoice Chocolate and Almond Oats Biscuits,BRITANNIA,BISCUIT,BISCUIT,SUGAR; LIQUID GLUCOSE; DEXTROSE; MALTODEXTRIN; REFINED PALM OIL; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; hidden_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; allergen; refined_carb; sodium_source,medium; medium; medium; medium; medium; low; medium; low
39,Parle Happy Happy choco chip cookies,PARLE,BISCUIT,COOKIES,INVERT SUGAR SYRUP; DEXTROSE; REFINED PALM OIL; RAISING AGENTS 500(II); RAISING AGENTS 503(II); REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; hidden_sugar; saturated_fat_source; raising_agent; raising_agent; refined_carb; sodium_source,medium; medium; medium; low; low; medium; low
40,Malkist Cheese Crunchy Layered Crackers,MALKIST,BISCUIT,CRACKER,SUGAR; GLUCOSE SYRUP; MILK SOLIDS; REFINED WHEAT FLOUR; STARCH; EDIBLE COMMON SALT,added_sugar; hidden_sugar; allergen; refined_carb; refined_carb; sodium_source,medium; medium; low; medium; low; low
41,Karachi Bakery Osmania Biscuits,KARACHI BAKERY,BISCUIT,BISCUIT,SUGAR; HYDROGENATED VEGETABLE FAT; MILK SOLIDS; REFINED WHEAT FLOUR,added_sugar; trans_fat_source; allergen; refined_carb,medium; high; low; medium
42,UNIBIC Biscot Caramel Atta Biscuit,UNIBIC,BISCUIT,BISCUIT,SUGAR; GLUCOSE SYRUP; MILK SOLIDS; IODISED SALT,added_sugar; hidden_sugar; allergen; sodium_source,medium; medium; low; low
43,Haldirams Cookie Heaven Badam Pista Cookies,HALDIRAMS,BISCUIT,COOKIES,SUGAR; HYDROGENATED VEGETABLE OIL; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODIZED SALT,added_sugar; trans_fat_source; allergen; refined_carb; sodium_source,medium; high; low; medium; low
44,Haldirams Cookie Heaven Jeera Cookies,HALDIRAMS,BISCUIT,COOKIES,SUGAR; HYDROGENATED VEGETABLE OIL; MILK SOLIDS; REFINED WHEAT FLOUR,added_sugar; trans_fat_source; allergen; refined_carb,medium; high; low; medium
45,"Ritebite Max Protein Cookie Choco Chips, No Maida Multigrain Premium Biscuit Cookies",MAX PROTEIN,BISCUIT,COOKIES,INVERT SUGAR; DEXTROSE; CORN FLOUR,hidden_sugar; hidden_sugar; refined_carb,medium; medium; low
46,"Ritebite Max Protein Cookie Trail Mix, No Maida Multigrain Premium Biscuit Cookies",MAX PROTEIN,BISCUIT,COOKIES,SUGAR; INVERT SYRUP,added_sugar; hidden_sugar,medium; medium
47,The Baker's Dozen Cookies Choco Chip Flavoured Biscuits Cookies,THE BAKER'S DOZEN,BISCUIT,COOKIES,SUGAR; REFINED WHEAT FLOUR,added_sugar; refined_carb,medium; medium
48,CookieMan Almond Finger Cookies,COOKIEMAN,BISCUIT,COOKIES,SUGAR; LIQUID GLUCOSE; INVERT SYRUP; HYDROGENATED VEGETABLE FAT; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; hidden_sugar; hidden_sugar; trans_fat_source; allergen; refined_carb; sodium_source,medium; medium; medium; high; low; medium; low
49,"Sunfeast Dark Fantasy Choco Chip, Biscuit Made With Deliciously Rich Chocolate",SUNFEAST,BISCUIT,BISCUIT,SUGAR; INVERT SYRUP; DEXTROSE; REFINED PALM OIL; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; refined_carb; sodium_source,medium; medium; medium; medium; medium; low
50,The Baker's Dozen Dark Chocolate Flavoured Biscuits Cookies ,THE BAKER'S DOZEN,BISCUIT,COOKIES,SUGAR; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA),added_sugar; allergen; refined_carb,medium; low; medium
51,Open Secret Zero Maida Assorted Chocolate Cookies,OPEN SECRET,BISCUIT,COOKIES,SUGAR; LIQUID GLUCOSE; STARCH; EDIBLE COMMON SALT,added_sugar; hidden_sugar; refined_carb; sodium_source,medium; medium; low; low
52,Mcvitie's Digestive High Fibre Biscuits With Goodness Of Wholewheat,MCVITIES,BISCUIT,BISCUIT,INVERT SUGAR SYRUP; EDIBLE VEGETABLE OIL (PALM OIL); RAISING AGENTS INS 503(II); REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; saturated_fat_source; raising_agent; refined_carb; sodium_source,medium; medium; low; medium; low
53,Malkist Double Chocolatey Crunchy Layered Crackers,MALKIST,BISCUIT,CRACKER,SUGAR; GLUCOSE SYRUP; MILK SOLIDS; REFINED WHEAT FLOUR; STARCH; EDIBLE COMMON SALT,added_sugar; hidden_sugar; allergen; refined_carb; refined_carb; sodium_source,medium; medium; low; medium; low; low
54,CookieMan Choco Chunk Cookies,COOKIEMAN,BISCUIT,COOKIES,SUGAR; LIQUID GLUCOSE; REFINED WHEAT FLOUR (MAIDA),added_sugar; hidden_sugar; refined_carb,medium; medium; medium
55,CookieMan Bhai Dooj Cookies & Chocolate Gift Box Hamper,COOKIEMAN,BISCUIT,COOKIES,SUGAR; MILK SOLIDS,added_sugar; allergen,medium; low
56,Britannia Good Day Butter Cookies | Trans Fat-free,BRITANNIA,BISCUIT,BUTTER COOKIES,SUGAR; INVERT SYRUP; ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; hidden_sugar; artificial_flavoring; allergen; refined_carb; sodium_source,medium; medium; medium; low; medium; low
57,"Open Secret Zero Maida Chocolate Millet Biscuit, Healthy Snacks with No Refined Sugar & No Palm Oil",OPEN SECRET,BISCUIT,MILLET COOKIES,MALTODEXTRIN; JAGGERY; SKIMMED MILK POWDER; CORN FLOUR,hidden_sugar; added_sugar; allergen; refined_carb,medium; low; low; low
58,Parle Hide & Seek Milano Choco Filled Hazelnut,PARLE,BISCUIT,CHOCOFILL,SUGAR; IODISED SALT,added_sugar; sodium_source,medium; low
59,UNIBIC Sugar Free Multigrain Cookies,UNIBIC,BISCUIT,BUTTER COOKIES,IODISED SALT,sodium_source,low
60,Britannia Milk Bikis Biscuits,BRITANNIA,BISCUIT,BISCUIT,INVERT SUGAR SYRUP; REFINED PALM OIL; RAISING AGENTS 500(II); RAISING AGENTS 503(II); NATURE IDENTICAL FLAVOURING SUBSTANCES; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; saturated_fat_source; raising_agent; raising_agent; artificial_flavoring; allergen; refined_carb; sodium_source,medium; medium; low; low; medium; low; medium; low
61,Open Secret Zero Maida Jeera Millet Biscuit,OPEN SECRET,BISCUIT,BISCUIT,MALTODEXTRIN; JAGGERY; SKIMMED MILK POWDER; CORN FLOUR; EDIBLE COMMON SALT,hidden_sugar; added_sugar; allergen; refined_carb; sodium_source,medium; low; low; low; low
62,Palekar Buttery Shrewsbury Cookies,PALEKAR,BISCUIT,BUTTER COOKIES,SUGAR; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; allergen; refined_carb; sodium_source,medium; low; medium; low
63,The Baker's Dozen High Protein Peanut Butter Cookies Biscuits,THE BAKER'S DOZEN,BISCUIT,BUTTER COOKIES,SUGAR; REFINED WHEAT FLOUR (MAIDA),added_sugar; refined_carb,medium; medium
64,CookieMan Ragi Millet Jaggery Cookies,COOKIEMAN,BISCUIT,COOKIES,LIQUID GLUCOSE; JAGGERY; HYDROGENATED VEGETABLE FAT; RAISING AGENTS INS 503(II); REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; added_sugar; trans_fat_source; raising_agent; refined_carb; sodium_source,medium; low; high; low; medium; low
65,Parle-G Original Gluco Biscuits,PARLE,BISCUIT,BISCUIT,INVERT SUGAR SYRUP; REFINED PALM OIL; RAISING AGENTS 500(II); RAISING AGENTS 503(II); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; saturated_fat_source; raising_agent; raising_agent; allergen; refined_carb; sodium_source,medium; medium; low; low; low; medium; low
66,Parle Elaichi Rusk,PARLE,BISCUIT,RUSK,SUGAR; REFINED PALM OIL; WHEAT GLUTEN; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; saturated_fat_source; allergen; refined_carb; sodium_source,medium; medium; low; medium; low
67,Britannia Pure Magic Choco Stars,BRITANNIA,BISCUIT,CREAME,INVERT SUGAR SYRUP; REFINED PALM OIL; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); STARCH; IODISED SALT,hidden_sugar; saturated_fat_source; allergen; refined_carb; refined_carb; sodium_source,medium; medium; low; medium; low; low
68,Parle-G Gold Biscuit,PARLE,BISCUIT,GLUCOSE BISCUIT,INVERT SUGAR SYRUP; REFINED PALM OIL; CITRIC ACID; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; saturated_fat_source; acidity_regulator; allergen; refined_carb; sodium_source,medium; medium; low; low; medium; low
69,Parle-G Royale,PARLE,BISCUIT,BISCUIT,INVERT SUGAR SYRUP; PALM OIL; CITRIC ACID; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; saturated_fat_source; acidity_regulator; allergen; refined_carb; sodium_source,medium; medium; low; low; medium; low
70,Britannia Good Day Chunkies Coconut Cookies,BRITANNIA,BISCUIT,COCONUT COOKIES,INVERT SUGAR SYRUP; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; refined_carb; sodium_source,medium; medium; low
71,Parle Krackjack Sweet and Salty Biscuits,PARLE,BISCUIT,BISCUIT,INVERT SUGAR SYRUP; RAISING AGENTS INS 503(II); REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; raising_agent; refined_carb; sodium_source,medium; low; medium; low
72,Parle Milk Shakti,PARLE,BISCUIT,GLUCOSE BISCUIT,INVERT SUGAR SYRUP; REFINED PALM OIL; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA),hidden_sugar; saturated_fat_source; allergen; refined_carb,medium; medium; low; medium
73,Parle Nutricrunch Classic Digestive Cookies,PARLE,BISCUIT,DIGESTIVE BISCUIT,INVERT SUGAR SYRUP; REFINED PALM OIL; RAISING AGENTS 500(II); RAISING AGENTS 503(II); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; saturated_fat_source; raising_agent; raising_agent; allergen; refined_carb; sodium_source,medium; medium; low; low; low; medium; low
74,Parle Monaco Classic Salty Biscuits,PARLE,BISCUIT,BISCUIT,INVERT SUGAR SYRUP; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; refined_carb; sodium_source,medium; medium; low
75,Parle Hide & Seek Black Bourbon,PARLE,BISCUIT,CREAME,INVERT SUGAR SYRUP; EDIBLE VEGETABLE OIL (PALM OIL); RAISING AGENTS 500(II); RAISING AGENTS 503(II); EDIBLE COMMON SALT,hidden_sugar; saturated_fat_source; raising_agent; raising_agent; sodium_source,medium; medium; low; low; low
76,Parle Hide & Seek Creme Sandwiches,PARLE,BISCUIT,CREAME,INVERT SUGAR SYRUP; DEXTROSE; REFINED PALM OIL; REFINED WHEAT FLOUR; IODISED SALT,hidden_sugar; hidden_sugar; saturated_fat_source; refined_carb; sodium_source,medium; medium; medium; medium; low
77,Parle Hide & Seek Choco Roll Choco Rolls,PARLE,BISCUIT,CHOCO ROLL,INVERT SUGAR SYRUP; EDIBLE VEGETABLE OIL (PALM OIL); IODISED SALT,hidden_sugar; saturated_fat_source; sodium_source,medium; medium; low
78,Parle Marie Biscuit,PARLE,BISCUIT,BISCUIT,INVERT SUGAR SYRUP; REFINED PALM OIL; RAISING AGENTS 500(II); RAISING AGENTS 503(II); ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; saturated_fat_source; raising_agent; raising_agent; artificial_flavoring; allergen; refined_carb; sodium_source,medium; medium; low; low; medium; low; medium; low
79,Parle Hide & Seek Milano Cookies,PARLE,BISCUIT,BISCUIT,LIQUID GLUCOSE; INVERT SUGAR SYRUP; DEXTROSE; REFINED PALM OIL; RAISING AGENTS 500(II); RAISING AGENTS 503(II); SKIMMED MILK POWDER; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; raising_agent; raising_agent; allergen; refined_carb; sodium_source,medium; medium; medium; medium; low; low; low; medium; low
80,Britannia 5 Grain High-Fibre Biscuits Multigrain Digestive Biscuits,BRITANNIA,BISCUIT,DIGESTIVE BISCUIT,SUGAR; REFINED PALM OIL; MILK SOLIDS; IODISED SALT,added_sugar; saturated_fat_source; allergen; sodium_source,medium; medium; low; low
81,Dukes Nibbles - Jeera Crackers,DUKES,BISCUIT,CRACKER,SUGAR; LIQUID GLUCOSE; INVERT SYRUP; REFINED PALM OIL; REFINED PALMOLEIN OIL; EMULSIFIERS 471; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; saturated_fat_source; emulsifier; refined_carb; sodium_source,medium; medium; medium; medium; medium; low; medium; low
82,Let'S Try Fruits Cake Rusk,LET'S TRY,BISCUIT,RUSK,SUGAR; MILK SOLIDS; REFINED WHEAT FLOUR; IODIZED SALT,added_sugar; allergen; refined_carb; sodium_source,medium; low; medium; low
83,Palekar Tea Time Ajwain Toast,PALEKAR,BISCUIT,RUSK,SUGAR; INVERT SYRUP; HYDROGENATED VEGETABLE OIL; REFINED WHEAT FLOUR (MAIDA); IODIZED SALT,added_sugar; hidden_sugar; trans_fat_source; refined_carb; sodium_source,medium; medium; high; medium; low
